"Name","Powerpoints","Cost","CostResource","AbilityUp","AbilityUpCost","AbilityUpResource","Skin","Emote"
"string","int","int","string","boolean","int","string","string","string"
"Barbarian",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"Barbarian_3"
,40,4000,"Gold","TRUE",5000,"Gold",,
,70,7000,"Gold",,,,,
,100,10000,"Gold","TRUE",10000,"Gold",,
,130,13000,"Gold","TRUE",15000,"Gold",,
,170,17000,"Gold",,,,,"Barbarian_1"
,200,20000,"Gold",,,,,"Barbarian_2"
,230,23000,"Gold",,,,,"Barbarian_4"
,260,26000,"Gold",,1000,"Cosmetic","Barbarian Sunburn",
"Goblin",10,1000,"Gold",,,,,
,20,2000,"Gold","TRUE",3000,"Gold",,
,40,4000,"Gold",,,,,"Goblin_1"
,70,7000,"Gold",,,,,
,100,10000,"Gold","TRUE",10000,"Gold",,
,130,13000,"Gold","TRUE",15000,"Gold",,
,170,17000,"Gold",,,,,"Goblin_2"
,200,20000,"Gold",,,,,"Goblin_3"
,230,23000,"Gold",,,,,"Goblin_4"
,260,26000,"Gold",,1000,"Cosmetic","Goblin Adventure",
"Greg",10,1000,"Gold",,,,,
,20,2000,"Gold","TRUE",3000,"Gold",,
,40,4000,"Gold",,,,,"Greg_1"
,70,7000,"Gold",,,,,
,100,10000,"Gold","TRUE",10000,"Gold",,
,130,13000,"Gold","TRUE",15000,"Gold",,
,170,17000,"Gold",,,,,"Greg_2"
,200,20000,"Gold",,,,,"Greg_3"
,230,23000,"Gold",,,,,"Greg_4"
,260,26000,"Gold",,1000,"Cosmetic","Greg_Chef",
"Colt",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"Colt_1"
,40,4000,"Gold",,,,,
,70,7000,"Gold","TRUE",8000,"Gold",,
"ElPrimo",10,1000,"Gold",,,,,
,20,2000,"Gold","TRUE",3000,"Gold",,
,40,4000,"Gold",,,,,"ElPrimo_1"
,70,7000,"Gold",,,,,
,100,10000,"Gold","TRUE",10000,"Gold",,
,130,13000,"Gold","TRUE",15000,"Gold",,
,170,17000,"Gold",,,,,"ElPrimo_2"
,200,20000,"Gold",,,,,"ElPrimo_3"
,230,23000,"Gold",,,,,"ElPrimo_4"
,260,26000,"Gold",,1000,"Cosmetic","ElPrimo_Vegas",
"Shelly",10,1000,"Gold",,,,,
,20,2000,"Gold","TRUE",3000,"Gold",,
