"Name","TID","League","Exp","Trophy","Chest","Character","Skin","Emote","Resource","ResourceAmount","UnlockDuo","IconOverride"
"string","string","int","int","int","string","string","string","string","string","int","boolean","string"
"Main_2",,1,2,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_3",,1,3,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_4",,1,4,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_5",,1,5,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_6",,1,6,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_7",,1,7,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_8",,1,8,,,,,,"UnlockTokens",20,,
"Main_9",,1,9,,,,,,,,"TRUE",
"Main_10",,1,10,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_11",,1,11,,,,,,"UnlockTokens",10,,
"Main_12",,1,12,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_13",,1,13,,,,,,"Gold",2000,,
"Main_14",,1,14,,,,,,"Diamonds",100,,
"Main_16",,2,16,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_17",,2,17,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_18",,2,18,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_19",,2,19,,,,,,"UnlockTokens",20,,
"Main_20",,2,20,,,,,,"PowerTokens",1230,,"sc/ui.sc#icon_shop_powerpoints_4"
"Main_21",,2,21,,,,,,"UnlockTokens",10,,
"Main_22",,2,22,,,,,,"PowerTokens",30,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_23",,2,23,,,,,,"Gold",20000,,"sc/ui.sc#icon_shop_coin3_small"
"Main_24",,2,24,,,,,,"PowerTokens",30,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_25",,2,25,,,,,,"UnlockTokens",10,,
"Main_26",,2,26,,,,,,"PowerTokens",40,,"sc/ui.sc#icon_shop_powerpoints_3"
"Main_27",,2,27,,,,,,"Cosmetic",2000,,
"Main_28",,2,28,,,,,,"PowerTokens",20,,"sc/ui.sc#icon_shop_powerpoints_1"
"Main_29",,2,29,,,,,,"Gold",5000,,
"Main_31",,2,31,,,,,,"PowerTokens",40,,"sc/ui.sc#icon_shop_powerpoints_3"
"Main_32",,2,32,,,,,,"Gold",100,,"sc/ui.sc#icon_shop_coin2_small"
"Main_33",,2,33,,,,,,"PowerTokens",30,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_34",,2,34,,,,,,"Diamonds",100,,
"Main_35",,2,35,,,,,,"Cosmetic",2000,,
"Main_36",,2,36,,,,,,"UnlockTokens",20,,
"Main_37",,2,37,,,,,,"Cosmetic",2000,,
"Main_38",,2,38,,,,,,"UnlockTokens",20,,
"Main_39",,2,39,,,,,,"Cosmetic",2000,,
"Main_40",,2,40,,,,,,"UnlockTokens",20,,
"Main_41",,2,41,,,,,,"Cosmetic",2000,,
"Main_42",,2,42,,,,,,"UnlockTokens",20,,
"Main_43",,2,43,,,,,,"Cosmetic",2000,,
"Main_44",,2,44,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_45",,2,45,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_46",,2,46,,,,,,"Cosmetic",2000,,
