"Name","Description","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","BoomboxEnabled","BoomboxUrl","BoomboxStagingUrl","HelpshiftLanguageTagOverride","ForcedFontName","SelfHelpUrl","SelfHelpStagingUrl","SelfHelpDevUrl","ChineseBuildSelfHelpUrl","PrivacyPolicyUrl","TermsOfServiceUrl","ParentsGuideUrl"
"String","String","boolean","boolean","String","String","String","int","boolean","String","boolean","String","String","String","String","string","string","string","string","String","String","String"
"EN",,,,,"en",,1,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","EN",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://github.com/8-bitHacc","https://github.com/8-bitHacc/OpenSquad"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"TEXT","Longest text",,,,"zh-hans","zh_CN",1000,"TRUE",,"true","http://supercell-inbox-reef-testing.s3-website-eu-west-1.amazonaws.com","https://supercell-inbox-reef-testing.s3-website-eu-west-1.amazonaws.com","EN",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/zh/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/zh/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/zh/index.html","https://ingame.help.supercellsupport.com/clash-royale/zh/index.html",,,
"WORD","Longest word",,,,"cn","zh_TW",1001,"TRUE",,,,,"EN",,"https://ingame.help.supercellsupport.com/squad-busters/ar/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/ar/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/ar/index.html","https://ingame.help.supercellsupport.com/clash-royale/ar/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"DOUBLE","Double String",,,,"zh-Hans","zh_CN",1002,"TRUE",,,,,"EN",,"https://ingame.help.supercellsupport.com/squad-busters/ms/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/ms/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/ms/index.html","https://ingame.help.supercellsupport.com/clash-royale/ms/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
"EMPTY","Empty texts",,,,"ko","ko",1003,"TRUE",,,,,"EN",,"https://ingame.help.supercellsupport.com/squad-busters/id/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/id/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/id/index.html","https://ingame.help.supercellsupport.com/clash-royale/id/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
"DOUBLEDOUBLE","Double Double String",,,,"zh-Hans","zh_CN",1004,"TRUE",,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
