"Name","Rarity","Disabled","Character","AbilitySkin","HealthBarZOffset","CosmeticPrice","UnlockLeague","TID","SkinForUI","BackgroundUISkin","GraphicsAsset","EnemyAsset","BaseAsset","AnimationSet","PortraitAsset","IconAsset","AbilityIconAsset","Scale","NoVictoryIntro","OriginalProjectiles","OverrideSkinProjectiles","OriginalSpawnedUnit","OverrideSpawnedUnitSkin","CollectionEffects","CollectionEffectJoints","CollectionShadowJoints","CollectionShadowZ","PreciousJoints","NoMeshMerge","NoRotateInCharPreview","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd"
"String","int","Boolean","String","String","int","int","int","string","String","String","String","String","String","String","String","String","String","Int","boolean","String","String","String","String","String","String","String","int","String","boolean","boolean","int","int","int","int","int","int"
"Barbarian",0,,"Barbarian",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/barbarian_rig.glb",,,"Barbarian","sc/portraits_barbarian.sc#barbarian","sc/character_icons.sc#barbarian_icon","sc/character_ability.sc#barbarian_ability_icon",100,,,,,,"barbarian_default_preview",,,-40,,,,,,,,,
"Goblin",0,,"Goblin",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/goblin_rig.glb",,,"Goblin","sc/portraits_goblin.sc#goblin","sc/character_icons.sc#goblin_icon","sc/character_ability.sc#goblin_ability_icon",100,,,,,,"goblin_preview_twinkle",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"goblin_preview_speedline01",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"goblin_preview_speedline02",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"goblin_preview_glow",,,,,,,,,,,,
"Goblin_Ninja",1,,"Goblin",,-15,,1,"TID_SKIN_GOBLIN_NINJA",,,"sc3d/goblinninja_rig.glb",,,"Goblin Ninja","sc/portraits_goblin.sc#goblin_ninja_skin","sc/character_icons.sc#goblin_icon",,100,,,,,,"goblin_ninja_preview_slash",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"goblin_ninja_preview_smoke",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"goblin_ninja_preview_optical",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"goblin_ninja_preview_glow",,,,,,,,,,,,
"Greg",0,,"Greg",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/greg_rig.glb",,,"Greg","sc/portraits_greg.sc#greg","sc/character_icons.sc#greg_icon","sc/character_ability.sc#greg_ability_icon",100,,,,,,"greg_preview","head_s",,,,,,,,,,,
"Greg_Chef",1,,"Greg",,-15,,1,"TID_SKIN_GREG_CHEF",,,"sc3d/gregchef_rig.glb",,,"Greg Chef","sc/portraits_greg.sc#greg_chef_skin","sc/character_icons.sc#greg_icon",,100,,,,,,"greg_chef_preview","head_s",,,,,,,,,,,
"Colt",0,,"Colt",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/colt_rig.glb",,,"Colt","sc/portraits_colt.sc#colt","sc/character_icons.sc#colt_icon","sc/character_ability.sc#colt_ability_icon",100,,,,,,"colt_preview_r","R_weapon_01_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"colt_preview_l","L_weapon_01_s",,,,,,,,,,,
"Colt_Halloween",2,,"Colt",,-15,,1,"TID_SKIN_COLT_HALLOWEEN",,,"sc3d/colthalloween_rig.glb",,,"Colt Halloween","sc/portraits_colt.sc#colt_halloween_skin","sc/character_icons.sc#colt_icon",,100,,,,,,"colt_halloween_preview","hips_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"colt_halloween_preview_head","head_s",,,,,,,,,,,
"ElPrimo",0,,"ElPrimo",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/primo_rig.glb",,,"Primo","sc/portraits_primo.sc#primo","sc/character_icons.sc#el_primo_icon","sc/character_ability.sc#primo_ability_icon",100,,,,,,,,,,,,,,,,,,
"ElPrimo_Vegas",0,,"ElPrimo",,-15,,1,"TID_SKIN_ELPRIMO_VEGAS",,,"sc3d/primovegas_rig.glb",,,"Primo Vegas","sc/portraits_primo.sc#primo_vegas_skin","sc/character_icons.sc#el_primo_icon",,100,,,,,,,,,,,,,,,,,,
"ElPrimo_Panda",0,,"ElPrimo",,-15,,1,"TID_SKIN_ELPRIMO_PANDA",,,"sc3d/primopanda_rig.glb",,,"Primo Panda","sc/portraits_primo.sc#primo_panda_skin","sc/character_icons.sc#el_primo_icon",,100,,,,,,,,,,,,,,,,,,
"Shelly",0,,"Shelly",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/shelly_rig_squad.glb",,,"Shelly","sc/portraits_shelly.sc#shelly","sc/character_icons.sc#shelly_icon","sc/character_ability.sc#shelly_ability_icon",100,,,,,,"shelly_attack_preview","fx_jnt",,,,,,,,,,,
"Shelly_Sheriff",0,,"Shelly",,-15,1000,1,"TID_SKIN_SHELLY_SHERIFF",,,"sc3d/shellysheriff_rig.glb",,,"Shelly Sheriff","sc/portraits_shelly.sc#shelly_cowgirl_skin","sc/character_icons.sc#shelly_icon",,100,,,,,,"shelly_sheriff_preview","shotgun_s",,,,,,,,,,,
"Witch",0,,"Witch",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/witch_rig.glb",,,"Witch","sc/portraits_witch.sc#witch","sc/character_icons.sc#witch_icon","sc/character_ability.sc#witch_ability_icon",100,,,,,,"witch_preview_l",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"witch_preview_stick",,,,,,,,,,,,
"Witch_Forest",1,,"Witch",,-15,1500,1,"TID_SKIN_WITCH_FOREST",,,"sc3d/witchforest_rig.glb",,,"Witch Forest","sc/portraits_witch.sc#witch_forest_skin","sc/character_icons.sc#witch_icon",,100,,,,,,"witch_forest_preview_r","R_weapon_01_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"witch_forest_preview_l","L_weapon_01_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"witch_forest_preview_stick","fx_jnt",,,,,,,,,,,
"Chicken",0,,"Chicken",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/chicken_rig.glb",,,"Chicken","sc/portraits_chicken.sc#chicken","sc/character_icons.sc#chicken_icon","sc/character_ability.sc#chicken_ability_icon",100,,,,,,"chicken_preview_feather",,,,,,,,,,,,
"Chicken_Tuxedo",0,,"Chicken",,-15,1000,1,"TID_SKIN_CHICKEN_TUXEDO",,,"sc3d/chickentuxedo_rig.glb",,,"Chicken Tuxedo","sc/portraits_chicken.sc#chicken_formal_skin","sc/character_icons.sc#chicken_icon",,100,,,,,,"chicken_tuxedo_preview_feather",,,,,,,,,,,,
"Chicken_Karate",1,,"Chicken",,-15,,1,"TID_SKIN_CHICKEN_KARATE",,,"sc3d/chickenkarate_rig.glb",,,"Chicken Karate","sc/portraits_chicken.sc#chicken_blackbelt_skin","sc/character_icons.sc#chicken_icon",,100,,,,,,,,,,,,,,,,,,
"Chicken_Dragon",2,,"Chicken",,-15,,1,"TID_SKIN_CHICKEN_DRAGON",,,"sc3d/chickendragon_rig.glb",,,"Chicken Dragon","sc/portraits_chicken.sc#chicken_dragon_skin","sc/character_icons.sc#chicken_icon",,100,,,,,,"chicken_dragon_preview",,,,,,,,,,,,
"Heavy",0,,"Heavy",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/heavy_rig_squad.glb",,,"Heavy","sc/portraits_heavy.sc#heavy","sc/character_icons.sc#heavy_icon","sc/character_ability.sc#heavy_ability_icon",100,,,,,,"heavy_atk_preview","fx_jnt",,,,,,,,,,,
"Heavy Future",1,,"Heavy",,-15,,1,"TID_SKIN_HEAVY_FUTURE",,,"sc3d/heavyfuture_rig.glb",,,"Heavy Future","sc/portraits_heavy.sc#heavy_future_skin","sc/character_icons.sc#heavy_icon",,100,,,,,,"heavy_future_preview_ground","hips_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"heavy_future_preview_toe","R_toe_s",,,,,,,,,,,
"Nita",0,,"Nita",,-15,,1,"TID_SKIN_DEFAULT",,"Bear","sc3d/nita_rig.glb",,,"Nita","sc/portraits_nita.sc#nita","sc/character_icons.sc#nita_icon","sc/character_ability.sc#nita_ability_icon",100,,,,,,"nita_preview","head_s",,,,,,,,,,,
"Nita_Toy",0,,"Nita",,-15,,1,"TID_SKIN_NITA_TOY",,"Bear_Toy","sc3d/nitatoy_rig.glb",,,"Nita Toy","sc/portraits_nita.sc#nita_toy_skin","sc/character_icons.sc#nita_icon",,100,,,,,"Bear_Toy","nita_toy_preview","hips_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"nita_toy_preview_symbol","head_s",,,,,,,,,,,
"Bear",0,,"Bear",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/nita_bear_rig.glb",,,"Nita Bear",,"sc/character_icons.sc#nita_bear_icon",,100,,,,,,,,,,,,"TRUE",,,,,,
"Bear_Toy",0,,"Bear",,-15,,1,"TID_SKIN_BEAR_TOY",,,"sc3d/nitatoybear_rig.glb",,,"Nita Bear Toy",,"sc/character_icons.sc#nita_bear_icon",,100,,,,,,,,,,,,"TRUE",,,,,,
"EliteBarbarian",0,,"EliteBarbarian",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/elitebarbarian_rig.glb",,,"Barbarian",,,,100,,,,,,,,,,,,,,,,,,
"WitchSkeleton",0,,"WitchSkeleton",,30,,1,"TID_SKIN_DEFAULT",,,"sc3d/skeleton_rig.glb",,,"Skeleton",,"sc/character_icons.sc#skeleton_icon",,70,,,,,,,,,,,,,,,,,,
"Skeleton",0,,"Skeleton",,15,,1,"TID_SKIN_DEFAULT",,,"sc3d/skeleton_rig.glb",,,"Skeleton",,"sc/character_icons.sc#skeleton_icon",,90,,,,,,,,,,,,,,,,,,
"Tree",0,,"Tree",,-45,,1,"TID_SKIN_DEFAULT",,,"sc3d/tree_rig_new.glb",,,"Tree",,,,120,,,,,,,,,,,,,,,,,,
"Medic",0,,"Medic",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/medic_rig.glb",,,"Medic","sc/portraits_medic.sc#medic","sc/character_icons.sc#medic_icon","sc/character_ability.sc#medic_ability_icon",100,,,,,,,,,,,,,,,,,,
"Medic_Explorer",0,,"Medic",,-15,1000,1,"TID_SKIN_MEDIC_EXPLORER",,,"sc3d/medicexplorer_rig.glb",,,"Medic Explorer","sc/portraits_medic.sc#medic_explorer_skin","sc/character_icons.sc#medic_icon",,100,,,,,,,,,,,,,,,,,,
"SneakyGoblin",0,,"SneakyGoblin",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/sneakygoblin_rig.glb",,,"Sneaky Goblin",,"sc/character_icons.sc#sneaky_goblin_icon",,100,,,,,,,,,,,,,,,,,,
"BattleHealer",0,,"BattleHealer",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/battlehealer_rig.glb",,,"Battle Healer","sc/portraits_battlehealer.sc#battle_healer","sc/character_icons.sc#battle_healer_icon","sc/character_ability.sc#battle_healer_ability_icon",100,,,,,,"battlehealer_preview","chest_s",,,,,,,,,,,
"BattleHealer_Demon",0,,"BattleHealer",,-15,,1,"TID_SKIN_BATTLEHEALER_DEMON",,,"sc3d/battlehealerdeamon_rig.glb",,,"Battle Healer Demon","sc/portraits_battlehealer.sc#battlehealer_demon_skin","sc/character_icons.sc#battle_healer_icon",,100,,,,,,"battlehealer_demon_preview","hips_s",,,,,,,,,,,
"Dynamike",0,,"Dynamike",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/dynamike_rig.glb",,,"Dynamike","sc/portraits_dynamike.sc#dynamike","sc/character_icons.sc#dynamike_icon","sc/character_ability.sc#dynamike_ability_icon",100,,,,,,"Fire_Fuse_Dynamike_preview_r","R_fx_jnt",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Fire_Fuse_Dynamike_preview_r_loop","R_fx_jnt",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Fire_Fuse_Dynamike_preview","L_fx_jnt",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Fire_Fuse_Dynamike_preview_loop","L_fx_jnt",,,,,,,,,,,
"Dynamike Samurai",2,,"Dynamike",,-15,,1,"TID_SKIN_DYNAMIKE_SAMURAI",,,"sc3d/dynamikesamurai_rig.glb",,,"Dynamike Samurai","sc/portraits_dynamike.sc#dynamike_fireworks_skin","sc/character_icons.sc#dynamike_icon",,100,,,,,,"dynamike_samurai_preview_r",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"dynamike_samurai_preview_l",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"dynamike_samurai_firework_01",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"dynamike_samurai_firework_02",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"dynamike_samurai_firework_03",,,,,,,,,,,,
"Golem",0,,"Golem",,-40,,1,"TID_SKIN_DEFAULT",,,"sc3d/golem_rig.glb",,,"Golem",,"sc/character_icons.sc#golem_icon",,150,,,,,,,,,,,,,,,,,,
"Max",0,,"Max",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/max_rig.glb",,,"Max","sc/portraits_max.sc#max","sc/character_icons.sc#max_icon","sc/character_ability.sc#max_ability_icon",100,,,,,,"max_default_preview",,,,,,,,,,,,
