"TID","EN","FR","DE","ES","IT","NL","TR","JP","KR","RU","AR","PT","CN","CNT","ID","TH","FI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_LOADING","Loading","Chargement","Lädt","Cargando...","Caricamento...","Laden...","Yükleniyor","ロード中...","불러오는 중","Загрузка","جارٍ التحميل","Carregando...","正在加载","正在載入","Memuat","กำลังโหลด","Ladataan..."
"TID_AMOUNT_OUT_OF_MAX","<amount> / <max>","<amount> / <max>","<amount>/<max>","<amount> / <max>","<amount>/<max>","<amount>/<max>","<amount> / <max>","<amount>／<max>","<amount> / <max>","<amount> / <max>","<max> / <amount>","<amount>/<max>","<amount>/<max>","<amount>/<max>","<amount>/<max>","<amount> / <max>","<amount>/<max>"
"TID_SETTINGS_SCREEN_TITLE","SETTINGS","RÉGLAGES","EINSTELLUNGEN","AJUSTES","IMPOSTAZIONI","INSTELLINGEN","AYARLAR","設定","설정","НАСТРОЙКИ","الإعدادات","AJUSTES","设置","設定","SETELAN","การตั้งค่า","ASETUKSET"
"TID_LEVEL_NUM","Level <number>","Niveau <number>","Level <number>","Nivel <number>","Livello <number>","Level <number>","<number>. Seviye","レベル<number>","레벨 <number>","<number>-й уровень","المستوى <number>","Nível <number>","<number>级","<number>級","Level <number>","เลเวล <number>","Taso <number>"
"TID_LEVEL_SHORT","LVL","NIV.","LVL","NVL.","LIV.","LEVEL","SVY","レベル","LVL","УР.","مستوى","NVL","等级","等級","LVL","เลเวล","taso"
"TID_CANCEL","CANCEL","ANNULER","ABBRECHEN","CANCELAR","ANNULLA","ANNULEREN","İPTAL","キャンセル","취소","ОТМЕНА","إلغاء","CANCELAR","取消","取消","BATAL","ยกเลิก","PERUUTA"
"TID_EXPORT","EXPORT","EXPORTER","EXPORTIEREN","EXPORTAR","ESPORTA","EXPORTEREN","DIŞA AKTAR","エクスポート","내보내기","ВЫГРУЗИТЬ","تصدير","EXPORTAR","导出","匯出","EKSPOR","ส่งออก","VIE"
"TID_TIME_DAYS","d","j","T.","d"," g","d","gün","日","일"," д.","ي","d","天","天","h","ว.","p"
"TID_TIME_HOURS","h","h","Std.","h"," h","u","sa.","時間","시간"," ч.","س","h","小时","小時","j","ชม.","t"
"TID_TIME_MINS","m","m","Min.","min"," m","m","dk.","分","분"," м.","د","m","分","分","m","น.","min"
"TID_TIME_SECS","s","s","Sek.","s"," s","s","sn.","秒","초"," с.","ث","s","秒","秒","d","วิ.","s"
"TID_PLUS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TID_BUTTON_YES","Yes","Oui","Ja","Sí","Sì","Ja","Evet","はい","예","Да","نعم","Sim","是","是","Ya","ตกลง","Kyllä"
"TID_BUTTON_NO","No","Non","Nein","No","No","Nee","Hayır","いいえ","아니요","Нет","لا","Não","否","否","Tidak","ไม่","Ei"
"TID_BUTTON_X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"TID_BUTTON_INFO","Info","Infos","Info","Información","Informazioni","Info","Bilgiler","情報","정보","Информация","معلومات","Detalhes","信息","資訊","Info","ข้อมูล","Tietoja"
"TID_POPUP_ANDROID_EXIT_TITLE","CONFIRM EXIT","CONFIRMATION","SCHLIESSEN BESTÄTIGEN","CONFIRMAR SALIDA","CONFERMA USCITA","AFSLUITEN BEVESTIGEN","ÇIKIŞ ONAYI","ゲームを終了","나가기 확인","ПОДТВЕРЖДЕНИЕ ВЫХОДА","تأكيد الخروج","CONFIRMAR SAÍDA","确认退出","確認退出","KONFIRMASI","ยืนยันการออก","POISTU"
